0 NONE 0;-32767 0;0
1 NONE 0;-32767 0;0
2 NONE 0;-32767 0;0
3 NONE 0;-32767 0;0
4 NONE 0;-32767 0;0
5 NONE 0;-32767 0;0
10 KEY_A 0;0 0;0
896 KEY_A;KEY_B 0;0 0;0
898 KEY_A;KEY_B 0;0 0;0
900 KEY_A;KEY_B 0;0 0;0
902 KEY_A;KEY_B 0;0 0;0
904 KEY_A;KEY_B 0;0 0;0
906 KEY_A;KEY_B 0;0 0;0
908 KEY_A;KEY_B 0;0 0;0
910 KEY_A;KEY_B 0;0 0;0
912 KEY_A;KEY_B 0;0 0;0
914 KEY_A;KEY_B 0;0 0;0
916 KEY_A;KEY_B 0;0 0;0
918 KEY_A;KEY_B 0;0 0;0
920 KEY_A;KEY_B 0;0 0;0
922 KEY_A;KEY_B 0;0 0;0
924 KEY_A;KEY_B 0;0 0;0
926 KEY_A;KEY_B 0;0 0;0
928 KEY_A;KEY_B 0;0 0;0
930 KEY_A;KEY_B 0;0 0;0
932 KEY_A;KEY_B 0;0 0;0
934 KEY_A;KEY_B 0;0 0;0
936 KEY_A;KEY_B 0;0 0;0
938 KEY_A;KEY_B 0;0 0;0
940 KEY_A;KEY_B 0;0 0;0
